127.0.0.1 - - [29/Sep/2016:00:27:34 +0800] "GET / HTTP/1.1" 200 11418
0:0:0:0:0:0:0:1 - - [29/Sep/2016:00:27:36 +0800] "GET /BookDB/WelcomeView.jsp HTTP/1.1" 200 1406
0:0:0:0:0:0:0:1 - - [29/Sep/2016:00:27:36 +0800] "GET /CSS/style.css/ HTTP/1.1" 404 979
0:0:0:0:0:0:0:1 - - [29/Sep/2016:00:28:26 +0800] "GET /BookDB/WelcomeView.jsp HTTP/1.1" 200 1401
0:0:0:0:0:0:0:1 - - [29/Sep/2016:00:28:26 +0800] "GET /BookDB/WelcomeView.jsp HTTP/1.1" 200 1401
0:0:0:0:0:0:0:1 - - [29/Sep/2016:00:28:26 +0800] "GET /BookDB/style.css/ HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [29/Sep/2016:00:28:26 +0800] "GET /BookDB/style.css/ HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [29/Sep/2016:01:02:25 +0800] "GET /BookDB/WelcomeView.jsp HTTP/1.1" 200 1408
0:0:0:0:0:0:0:1 - - [29/Sep/2016:01:02:25 +0800] "GET /BookDB//CSS/style.css HTTP/1.1" 200 1356
0:0:0:0:0:0:0:1 - - [29/Sep/2016:01:02:34 +0800] "GET /BookDB/WelcomeView.jsp HTTP/1.1" 200 1408
0:0:0:0:0:0:0:1 - - [29/Sep/2016:01:02:34 +0800] "GET /BookDB//CSS/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2016:01:02:58 +0800] "GET /BookDB/WelcomeView.jsp HTTP/1.1" 200 1408
0:0:0:0:0:0:0:1 - - [29/Sep/2016:01:03:00 +0800] "GET /BookDB//result.jsp HTTP/1.1" 200 276
0:0:0:0:0:0:0:1 - - [29/Sep/2016:01:04:42 +0800] "GET /BookDB/WelcomeView.jsp HTTP/1.1" 200 1417
0:0:0:0:0:0:0:1 - - [29/Sep/2016:01:04:42 +0800] "GET /BookDB//CSS/style.css HTTP/1.1" 200 1356
0:0:0:0:0:0:0:1 - - [29/Sep/2016:01:04:44 +0800] "GET /BookDB//AuthorSearch.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [29/Sep/2016:18:17:21 +0800] "GET /BookDB/WelcomeView.jsp HTTP/1.1" 200 1418
0:0:0:0:0:0:0:1 - - [29/Sep/2016:18:17:21 +0800] "GET /BookDB//CSS/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Sep/2016:18:19:56 +0800] "GET /BookDB/WelcomeView.jsp HTTP/1.1" 200 1421
0:0:0:0:0:0:0:1 - - [29/Sep/2016:18:20:03 +0800] "GET /BookDB/WelcomeView.jsp HTTP/1.1" 200 1418
0:0:0:0:0:0:0:1 - - [29/Sep/2016:18:20:20 +0800] "GET /BookDB/WelcomeView.jsp HTTP/1.1" 200 1418
0:0:0:0:0:0:0:1 - - [29/Sep/2016:19:17:44 +0800] "GET /BookDB/CSS/style.css HTTP/1.1" 200 1366
0:0:0:0:0:0:0:1 - - [29/Sep/2016:19:17:51 +0800] "GET /BookDB/WelcomeView.jsp HTTP/1.1" 200 1418
0:0:0:0:0:0:0:1 - - [29/Sep/2016:19:19:48 +0800] "GET /BookDB/WelcomeView.jsp HTTP/1.1" 200 1455
0:0:0:0:0:0:0:1 - - [29/Sep/2016:19:19:48 +0800] "GET /BookDB/WebContent/CSS/style.css HTTP/1.1" 404 1013
